時間,濕度,溫度
2024-08-16 10:34:23,66.6,11.3
2024-08-16 12:39:12,70.4,18.2
2024-10-15 12:27:42,50.1,32.2
2024-10-15 12:36:16,39.6,23.6
2024-10-15 12:36:41,68.5,27.9
2024-10-15 14:44:14,68.1,23.3
2024-10-15 14:46:26,42.5,33.3
2024-10-15 14:48:41,79.4,15.8
2024-10-15 15:04:09,77.3,12.2
2024-10-15 15:10:48,74.9,27.4
2024-10-15 15:12:41,43.7,13.0
2024-10-15 15:36:54,64.1,28.8
2024-10-15 17:37:16,64.4,36.5
2024-10-15 17:43:06,45.2,18.4
2024-10-15 17:52:47,63.7,16.7
2024-10-15 17:54:39,47.5,13.2
2024-10-15 17:54:46,37.8,33.8
